구,건축면적,건축면적(km²),면적 (km²),건물밀도(%)
강남구,7088648.7136,7.0886487136000005,39.51,17.94140398278917
강동구,3610402.0799,3.6104020798999996,24.59,14.682399674257827
강북구,3282026.9135,3.2820269134999998,23.6,13.906893701271184
강서구,7496178.3288,7.4961783288,41.45,18.08486930952955
관악구,3517400.6519,3.5174006519,29.57,11.895166222184647
광진구,3723330.1345,3.7233301345000003,17.06,21.824912863423215
구로구,3949214.0997,3.9492140997000003,20.12,19.628300694333998
금천구,2885797.2604,2.8857972604,13.02,22.164341477726573
노원구,3090705.5601,3.0907055601,35.44,8.720952483352145
도봉구,2792565.7919,2.7925657919,20.65,13.523321026150123
동대문구,2487774.3608,2.4877743608,14.22,17.49489705203938
동작구,3536063.527,3.5360635269999996,16.35,21.627299859327213
마포구,3662834.8175,3.6628348175,23.85,15.357797976939203
서대문구,2582296.0118,2.5822960118,17.63,14.647169664208736
서초구,4669721.9936,4.6697219936,46.97,9.941924619118586
성동구,2558889.789,2.5588897889999997,16.86,15.177282259786477
성북구,4979073.7334,4.9790737334,24.57,20.26485035978836
송파구,5439256.2988,5.4392562988,33.88,16.054475498229042
양천구,4413752.6714,4.4137526714,17.41,25.35182464905227
영등포구,4251901.224,4.251901224,24.55,17.319353254582484
용산구,3053132.6177,3.0531326176999998,21.87,13.960368622313672
은평구,3403256.0489,3.4032560489,29.71,11.45491770077415
종로구,2391500.3892,2.3915003892,23.91,10.002092803011292
중구,1919527.7229,1.9195277228999998,9.96,19.27236669578313
중랑구,4011712.2816,4.0117122815999995,18.5,21.68493125189189
