구,도로면적 (㎢),면적 (km²),도로비율(%)
종로구,2.7,23.91,11.292346298619824
중구,1.88,9.96,18.875502008032125
용산구,3.15,21.87,14.403292181069958
성동구,3.02,16.86,17.912218268090154
광진구,3.43,17.06,20.105509964830016
동대문구,3.2,14.22,22.50351617440225
중랑구,2.86,18.5,15.45945945945946
성북구,4.17,24.57,16.971916971916972
강북구,1.99,23.6,8.432203389830507
도봉구,2.35,20.65,11.380145278450364
노원구,3.71,35.44,10.46839729119639
은평구,3.74,29.71,12.588354089532144
서대문구,2.74,17.63,15.54169030062394
마포구,4.11,23.85,17.232704402515722
양천구,3.66,17.41,21.022400919012064
강서구,4.98,41.45,12.01447527141134
구로구,3.23,20.12,16.053677932405567
금천구,2.26,13.02,17.357910906298002
영등포구,4.59,24.55,18.69653767820774
동작구,2.75,16.35,16.81957186544342
관악구,3.03,29.57,10.246871829556984
서초구,5.56,46.97,11.837342984883968
강남구,5.8,39.51,14.679827891672996
송파구,4.97,33.88,14.669421487603303
강동구,3.38,24.59,13.745424969499798
