구,0세9세생활_인구_밀도(수/km²),65세이상생활_인구_밀도(수/km²)
강남구,1402.2513287775246,2293.995697291825
강동구,1785.0902806018707,3625.694184627898
강북구,683.3186440677965,2198.332627118644
강서구,1012.449457177322,1930.6759951749095
관악구,703.5999323638823,2077.5015218126478
광진구,1326.299531066823,2680.331770222743
구로구,1433.8832007952285,2913.48310139165
금천구,843.7864823348694,2250.835637480799
노원구,922.6870767494357,2249.1027088036117
도봉구,830.7723970944311,2588.206779661017
동대문구,1446.8347398030942,3759.120956399437
동작구,1508.715596330275,3318.1021406727828
마포구,1095.9492662473795,2007.0893081761005
서대문구,1176.222915484969,2734.7680090754397
서초구,921.2250372578242,1456.84266553119
성동구,1305.055753262159,2593.126334519573
성북구,1234.5474155474155,2599.095238095238
송파구,1809.3007674144037,2996.607733175915
양천구,1840.6645605973579,3207.45318782309
영등포구,1091.1910386965378,2460.1266802443993
용산구,654.3525377229081,1551.2510288065844
은평구,1041.3389431167957,2406.749242679233
종로구,418.99414470932663,1590.4006691760771
중구,871.0170682730923,3292.972891566265
중랑구,1236.2324324324325,3207.785945945946
